Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results,seed_word,source_file
jey uso action figure,"Informational, Transactional",5400,"0.44,1.00,0.81,0.54,0.54,0.54,0.66,0.44,0.36,0.29,0.29,0.19",24,0.22,0.88,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",684000.0,action,action_broad-match_us_2025-12-12.csv
sonic action figures,"Informational, Transactional",5400,"0.54,0.67,1.00,0.67,0.36,0.44,0.36,0.36,0.36,0.44,0.36,0.36",29,0.46,0.9,"Sitelinks, Image, Image pack, Video, Related searches",27600000.0,action,action_broad-match_us_2025-12-12.csv
spider man action figures,"Informational, Transactional",5400,"0.55,1.00,0.55,0.66,0.07,0.02,0.02,0.07,0.36,0.55,0.82,0.36",25,0.49,0.97,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",37100000.0,action,action_broad-match_us_2025-12-12.csv
spiderman action figures,"Informational, Transactional",5400,"0.66,0.82,1.00,0.82,0.43,0.07,0.05,0.09,0.82,0.66,0.82,0.82",25,0.49,0.97,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",9.0,action,action_broad-match_us_2025-12-12.csv
take action,Informational,5400,"0.67,0.67,0.67,0.67,0.54,0.81,0.81,1.00,0.67,0.67,0.54,0.67",27,1.42,0.12,"Sitelinks, Image, Image pack, Video, Related searches",6610000000.0,action,action_broad-match_us_2025-12-12.csv
tmnt action figures,"Informational, Transactional",5400,"0.19,0.36,1.00,0.81,0.29,0.36,0.19,0.12,0.19,0.29,0.19,0.29",26,0.25,0.91,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",7810000.0,action,action_broad-match_us_2025-12-12.csv
top class action lawsuits,"Informational, Commercial",5400,"1.00,0.81,1.00,0.81,0.54,0.54,0.66,0.66,0.81,0.81,0.66,1.00",27,2.51,0.1,"Sitelinks, Video, People also ask, Top stories, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
walmart class action lawsuit,Informational,5400,"0.15,1.00,1.00,0.62,0.54,0.62,0.31,0.15,0.08,0.15,0.23,0.23",25,0.89,0.01,"Sitelinks, AI Overview, Video, Video carousel, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
wells fargo class action lawsuit,Informational,5400,"0.02,0.01,1.00,0.00,0.05,0.04,0.02,0.00,0.00,0.03,0.00,0.00",26,1.02,0.01,"Sitelinks, AI Overview, Video, Related searches",1470000.0,action,action_broad-match_us_2025-12-12.csv
what is a class action lawsuit,Informational,5400,"0.81,0.81,0.67,1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.67,0.81",28,1.72,0.01,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",92700000.0,action,action_broad-match_us_2025-12-12.csv
dimensional fund advisors,Navigational,18100,,24,1.19,,,,advisor,advisor_broad-match_us_2025-12-11.csv
fiduciary financial advisor,Informational,8100,,27,8.01,,,,advisor,advisor_broad-match_us_2025-12-11.csv
academic advisor jobs,Commercial,5400,,16,0.27,,,,advisor,advisor_broad-match_us_2025-12-11.csv
service advisor,Informational,5400,,25,0.46,,,,advisor,advisor_broad-match_us_2025-12-11.csv
disney travel agents,Navigational,22200,,24,3.38,,,,agent,agent_broad-match_us_2025-12-11.csv
chubb agent login,"Navigational, Transactional",12100,,18,6.22,,,,agent,agent_broad-match_us_2025-12-11.csv
hagerty agent login,"Navigational, Transactional",12100,,29,5.45,,,,agent,agent_broad-match_us_2025-12-11.csv
ibet789 agent,"Informational, Transactional",12100,,17,1.85,,,,agent,agent_broad-match_us_2025-12-11.csv
ice agent salary,Informational,12100,,24,0.91,,,,agent,agent_broad-match_us_2025-12-11.csv
ads for agents,Informational,9900,,12,7.89,,,,agent,agent_broad-match_us_2025-12-11.csv
agent 5.5,Informational,9900,,29,11.19,,,,agent,agent_broad-match_us_2025-12-11.csv
auto owners agent login,"Navigational, Transactional",9900,,27,6.21,,,,agent,agent_broad-match_us_2025-12-11.csv
general sales agent,Informational,9900,,7,3.11,,,,agent,agent_broad-match_us_2025-12-11.csv
messaging security agent,Informational,9900,,19,1.97,,,,agent,agent_broad-match_us_2025-12-11.csv
sandals travel agent portal,Navigational,9900,,22,10.28,,,,agent,agent_broad-match_us_2025-12-11.csv
how to become a tourist agent,Informational,8100,,19,1.73,,,,agent,agent_broad-match_us_2025-12-11.csv
what is an ai agent,Informational,8100,,29,3.44,,,,agent,agent_broad-match_us_2025-12-11.csv
wyoming registered agent,"Navigational, Transactional",8100,,19,20.57,,,,agent,agent_broad-match_us_2025-12-11.csv
555mix agent,Informational,6600,,29,2.45,,,,agent,agent_broad-match_us_2025-12-11.csv
agente de propaganda medica,Informational,6600,,16,2.45,,,,agent,agent_broad-match_us_2025-12-11.csv
electronic service agent,"Informational, Transactional",6600,,21,4.39,,,,agent,agent_broad-match_us_2025-12-11.csv
florida registered agent,"Navigational, Transactional",6600,,19,16.16,,,,agent,agent_broad-match_us_2025-12-11.csv
server intelligence agent,Informational,6600,,17,3.87,,,,agent,agent_broad-match_us_2025-12-11.csv
concrete bonding agent,"Informational, Commercial",5400,,11,0.28,,,,agent,agent_broad-match_us_2025-12-11.csv
how much do fbi agents make,Informational,5400,,26,1.45,,,,agent,agent_broad-match_us_2025-12-11.csv
leasing agent jobs,Commercial,5400,,19,0.38,,,,agent,agent_broad-match_us_2025-12-11.csv
remote diagnostic agent,"Informational, Transactional",5400,,7,11.1,,,,agent,agent_broad-match_us_2025-12-11.csv
hi anime,"Informational, Transactional",135000,"0.30,0.24,0.30,0.67,0.82,0.82,0.82,0.54,1.00,0.54,0.82,0.82",21,1.16,0.0,"Sitelinks, Image, Image pack, Video, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
anime movies,Commercial,49500,"0.81,1.00,0.81,1.00,0.44,0.67,0.67,0.54,0.67,0.67,1.00,0.54",25,0.46,0.01,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
black panther animal,Informational,40500,"0.66,0.81,0.66,0.66,0.54,0.81,1.00,0.81,0.44,0.81,0.66,0.66",28,2.83,0.0,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",8.0,anime,anime_broad-match_us_2025-12-12.csv
disney animal kingdom,Informational,40500,"0.55,0.67,1.00,0.82,0.44,1.00,0.67,0.82,0.55,0.44,0.67,0.44",29,0.46,0.09,"Sitelinks, Image, Image pack, Video, Local pack, Related searches, Ads bottom",7.0,anime,anime_broad-match_us_2025-12-12.csv
nukitashi anime,"Informational, Transactional",40500,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,1.00,0.66",27,1.84,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Knowledge panel, Discussions and forums",9.0,anime,anime_broad-match_us_2025-12-12.csv
animal in animal,Informational,33100,"0.44,0.44,0.44,0.44,0.36,0.54,0.81,0.81,1.00,0.00,0.02,0.66",19,18.11,0.04,"AI Overview, Image, Image pack, Video, People also ask, Carousel, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
go go anime,Informational,27100,"0.66,0.30,1.00,0.44,0.44,0.30,0.10,0.08,0.36,0.20,0.13,0.03",28,4.61,0.01,"Sitelinks, Image, Image pack, Video, Related searches, See results about",9.0,anime,anime_broad-match_us_2025-12-12.csv
anime drawings,Informational,22200,"0.54,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.54,0.54,0.67,1.00",28,1.3,0.0,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
anime pahe,Informational,22200,"1.00,0.44,0.55,0.82,0.55,0.67,0.67,0.55,0.36,0.67,0.67,0.55",24,2.59,0.0,"Sitelinks, Video, Related searches",275000.0,anime,anime_broad-match_us_2025-12-12.csv
dc animated movies,"Informational, Transactional",22200,"0.44,0.36,0.36,0.44,0.24,0.29,0.24,0.24,0.24,1.00,0.36,0.36",29,1.37,0.01,"Sitelinks, Image, Video, Video carousel, Related searches, See results about",10.0,anime,anime_broad-match_us_2025-12-12.csv
spirit animal,Informational,22200,"1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.66,0.82,1.00,1.00",26,0.19,0.04,"Sitelinks, AI Overview, Image pack, Video, Related searches, Ads middle",510000000.0,anime,anime_broad-match_us_2025-12-12.csv
spirit animal quiz,Informational,22200,"0.66,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.66,0.82,0.82,0.66",17,0.17,0.24,"Sitelinks, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Ads bottom",160000000.0,anime,anime_broad-match_us_2025-12-12.csv
animal crossing characters,Informational,18100,"0.81,1.00,0.81,0.81,0.81,1.00,0.67,0.67,0.81,1.00,0.67,0.56",25,1.7,0.0,"Sitelinks, Image, Image pack, Video, Carousel, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
animators frozen 2,Commercial,18100,"0.00,0.00,0.00,0.00,0.16,1.00,0.66,0.24,0.24,0.00,0.01,0.13",27,0.94,0.06,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",8.0,anime,anime_broad-match_us_2025-12-12.csv
anime websites free,"Informational, Commercial",18100,"1.00,0.44,0.66,0.81,0.44,0.54,0.44,0.44,0.29,0.24,0.10,0.10",25,3.88,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches",2010000000.0,anime,anime_broad-match_us_2025-12-12.csv
funny animal videos,"Navigational, Transactional",18100,"1.00,0.54,1.00,1.00,0.54,0.54,0.81,0.66,0.81,0.66,0.66,0.66",27,0.26,0.01,"Sitelinks, Image, Video, Short videos, Related searches",1180000000.0,anime,anime_broad-match_us_2025-12-12.csv
funny animals,"Informational, Transactional",18100,"0.29,0.29,0.29,0.44,0.36,0.54,1.00,0.66,0.36,0.29,0.54,0.44",27,0.17,0.0,"Image, Image pack, Video, Carousel, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
kickass anime,Informational,18100,"0.44,0.36,0.54,0.29,1.00,0.66,0.66,0.16,0.44,0.13,0.54,0.10",25,3.62,0.0,"Sitelinks, Image, Image pack, Video, See results about",188000.0,anime,anime_broad-match_us_2025-12-12.csv
trzn anime,Informational,18100,"0.81,1.00,0.81,0.81,0.81,0.81,0.66,0.81,0.81,0.81,0.66,0.00",27,0.53,0.0,"Sitelinks, Image, Video, Related searches",6340.0,anime,anime_broad-match_us_2025-12-12.csv
4 anime,Informational,14800,"0.29,0.24,0.67,0.44,1.00,0.67,0.24,0.54,0.29,0.24,0.54,0.13",27,3.67,0.0,"Image, Image pack, Video, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
animal coloring pages,Informational,14800,"0.55,0.67,0.67,0.82,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.82",29,1.27,0.12,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
animal crossing villagers,Informational,14800,"0.81,1.00,0.81,1.00,0.81,0.67,0.56,0.67,0.67,0.67,0.36,0.56",26,1.59,0.0,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, See results about",24300000.0,anime,anime_broad-match_us_2025-12-12.csv
animal drawings,Informational,14800,"0.44,0.37,0.37,0.37,0.30,0.67,0.81,1.00,0.37,0.37,0.81,0.67",29,0.48,0.18,"Image, Image pack, Video, Video carousel, People also ask, Related searches",5220000000.0,anime,anime_broad-match_us_2025-12-12.csv
animal kingdom tickets,Informational,14800,"0.20,0.44,0.29,0.44,0.29,0.54,0.24,0.24,1.00,0.36,0.44,0.20",25,0.42,0.07,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
animeid,Informational,14800,"0.36,0.82,0.30,0.67,0.44,0.44,0.20,0.82,1.00,0.24,0.24,0.55",28,2.78,0.01,"Sitelinks, Image, Image pack, Video, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
animo,"Informational, Transactional",14800,"0.55,0.45,0.45,0.66,0.55,0.36,0.66,0.66,0.82,1.00,0.82,0.82",29,1.0,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches, See results about",10.0,anime,anime_broad-match_us_2025-12-12.csv
glass animals tour,Informational,14800,"0.36,0.30,0.30,0.36,0.30,1.00,0.55,0.66,0.82,0.45,0.66,0.18",22,0.35,0.15,"Sitelinks, Video, Video carousel, Related searches, See results about",8.0,anime,anime_broad-match_us_2025-12-12.csv
horror anime,Commercial,14800,"1.00,0.44,0.54,0.54,0.44,0.81,0.54,0.54,0.81,0.67,0.67,0.67",27,3.44,0.0,"Sitelinks, Image, Image pack, Video, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
how to draw anime,Informational,14800,"0.36,0.55,0.44,0.30,0.44,0.67,1.00,1.00,0.55,0.36,0.55,0.55",26,0.76,0.02,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
what animal am i,Informational,14800,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.55,0.67,0.67",20,0.12,0.16,"Sitelinks, Image pack, Video, Video carousel, Carousel, Discussions and forums, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
animal farm pdf,Informational,12100,"0.24,0.66,0.66,1.00,1.00,0.81,1.00,0.81,0.24,0.19,0.36,0.66",27,4.96,0.01,"Video, People also ask, Knowledge panel, Related searches",308000000.0,anime,anime_broad-match_us_2025-12-12.csv
animal friends of the valley,"Navigational, Commercial",12100,"0.66,0.36,0.66,0.66,0.66,0.81,0.66,0.66,1.00,0.66,0.54,0.54",22,0.58,0.02,"Sitelinks, Image, Image pack, Video, Video carousel, Local pack, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
animated happy birthday,"Informational, Transactional",12100,"0.54,1.00,1.00,0.81,0.81,0.67,0.67,0.54,0.81,1.00,1.00,0.67",26,0.72,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",10.0,anime,anime_broad-match_us_2025-12-12.csv
anime and movies,Commercial,12100,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,1.00,0.00,0.00,0.00",28,0.4,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches",8.0,anime,anime_broad-match_us_2025-12-12.csv
anime and wallpapers,Informational,12100,"0.00,0.00,0.01,0.00,0.00,0.00,1.00,0.36,0.29,0.00,0.02,0.44",29,0.31,0.02,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches",9.0,anime,anime_broad-match_us_2025-12-12.csv
creature stuffed animals,"Informational, Transactional",12100,"0.00,0.00,0.01,0.00,1.00,0.44,1.00,0.00,0.00,0.00,0.02,0.20",15,0.79,1.0,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",12200000.0,anime,anime_broad-match_us_2025-12-12.csv
crochet animals,"Informational, Transactional",12100,"0.66,1.00,0.81,0.81,0.44,0.66,0.36,0.54,0.54,0.44,0.54,0.36",26,0.45,0.8,"Sitelinks, Image, Image pack, Video, Video carousel, Carousel, Related searches",77000000.0,anime,anime_broad-match_us_2025-12-12.csv
dyson ball animal 3,Informational,12100,"0.66,1.00,1.00,1.00,1.00,1.00,0.54,0.81,0.66,1.00,0.81,0.66",29,0.4,1.0,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products",9.0,anime,anime_broad-match_us_2025-12-12.csv
ecchi anime,"Informational, Commercial",12100,"0.55,0.67,0.44,1.00,0.82,0.44,0.67,0.67,0.55,0.67,0.67,0.44",27,2.93,0.0,Sitelinks,6.0,anime,anime_broad-match_us_2025-12-12.csv
emotional support animal letter,Informational,12100,"0.44,0.36,0.54,0.36,0.66,0.44,0.36,0.44,0.54,1.00,0.44,0.36",25,5.47,0.72,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Ads bottom, Ads middle",9.0,anime,anime_broad-match_us_2025-12-12.csv
plush stuffed animals toys,"Informational, Commercial",12100,"0.02,0.00,0.00,0.00,0.13,0.16,0.20,0.24,1.00,0.10,0.02,0.24",28,0.59,0.16,"Sitelinks, Image, Video, Related searches, Popular products, Things to know",10.0,anime,anime_broad-match_us_2025-12-12.csv
videos funny animal videos,"Navigational, Transactional",12100,"0.04,0.01,0.02,0.00,0.81,0.81,1.00,0.67,0.36,0.00,0.01,0.44",28,0.26,0.01,"Image, Video, Short videos, People also ask, Related searches",511000000.0,anime,anime_broad-match_us_2025-12-12.csv
what is my spirit animal,Informational,12100,"1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.67",20,0.2,0.33,"Sitelinks, Image, Video, Knowledge panel, Related searches, Ads bottom, Ads middle",10.0,anime,anime_broad-match_us_2025-12-12.csv
animal cooling,"Informational, Transactional",9900,"0.00,0.01,0.03,0.00,0.44,0.81,1.00,0.54,0.44,0.00,0.03,0.44",21,0.25,0.0,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",9.0,anime,anime_broad-match_us_2025-12-12.csv
animal print,Informational,9900,"0.54,0.44,0.66,0.36,0.81,0.54,0.44,0.81,0.36,0.66,1.00,0.81",22,0.63,0.75,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products",988000000.0,anime,anime_broad-match_us_2025-12-12.csv
