Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
convert mp4 to gif,"Informational, Transactional",6600,"0.67,1.00,0.67,0.82,0.67,0.82,0.55,0.67,0.67,0.67,0.67,0.67",29,1.27,0.02,"Sitelinks, Image pack, Video, Related searches"
convert pixels in inches,Informational,6600,"0.00,0.00,0.00,0.01,1.00,1.00,0.00,0.66,1.00,0.00,0.00,0.54",15,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
convert time to decimal,Informational,6600,"1.00,0.67,0.44,0.81,0.44,0.30,0.36,0.44,0.44,0.36,0.36,0.30",28,2.98,0.00,"Sitelinks, Video, Related searches"
convertibles for sale near me,Transactional,6600,"0.67,0.54,0.44,0.44,0.54,0.81,0.81,1.00,1.00,1.00,0.81,0.67",12,0.63,1.00,"Sitelinks, Video, People also ask, Local pack, Related searches, Ads bottom"
mkv to mp4 converter,"Informational, Transactional",6600,"1.00,0.24,0.29,0.24,0.29,0.29,0.29,0.24,0.19,0.29,0.24,0.29",26,0.37,0.06,"Sitelinks, Video, Video carousel, People also ask, Related searches"
mp3 converter -- youtube,Commercial,6600,"1.00,0.43,0.29,0.29,0.86,0.57,0.43,0.29,0.29,0.57,0.57,0.29",26,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches"
spotify to mp3 converter,Commercial,6600,"0.36,0.44,0.81,0.54,0.44,1.00,0.36,0.44,0.23,0.44,0.66,0.66",16,1.33,0.01,"Sitelinks, Video, Video carousel, Related searches"
youtube convert to mp3,Commercial,6600,"0.83,0.54,0.83,0.83,0.67,0.54,0.67,1.00,0.67,0.33,1.00,0.67",23,1.82,0.00,"Sitelinks, Video, Video carousel, Related searches"
yt mp3 converter,Commercial,6600,"0.81,1.00,0.81,0.81,0.67,0.81,0.54,0.81,0.67,0.44,0.44,0.67",26,0.00,0.00,"Sitelinks, Video, Related searches"
2024 camaro convertible for sale,Transactional,5400,"0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.54,0.35,0.23,0.23",24,0.54,1.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
best catalytic converter cleaner,Commercial,5400,"1.00,0.54,0.66,0.66,0.54,0.66,0.44,0.66,0.66,0.66,0.66,0.66",27,0.26,0.98,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
cable hdmi to usb converter,"Informational, Transactional",5400,"0.81,0.81,1.00,1.00,0.66,0.81,0.66,0.29,0.44,0.00,0.07,0.36",27,0.35,0.94,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products"
catalytic converter scrap price,Informational,5400,"0.81,1.00,0.36,0.53,0.81,1.00,1.00,1.00,0.67,0.67,0.81,1.00",27,1.15,0.04,"Sitelinks, AI Overview, Video, People also ask, Related searches"
convert oz to mills,"Informational, Commercial",5400,"0.01,0.00,0.04,0.00,0.13,0.00,1.00,0.44,0.00,0.00,0.00,0.03",19,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
convert pixels to inches,Informational,5400,"0.54,0.66,0.29,1.00,0.36,0.66,0.29,0.29,0.36,0.44,0.44,0.36",14,0.00,0.00,"AI Overview, Video, Related searches"
convert wav to mp3,Commercial,5400,"0.81,0.67,0.67,0.67,0.81,0.67,1.00,0.81,0.44,0.67,0.81,0.67",23,0.67,0.03,"Sitelinks, Video, Related searches"
convertir youtube vers mp4,"Informational, Commercial",5400,"0.10,0.03,0.08,0.01,0.02,0.81,1.00,0.81,0.81,0.00,0.02,0.44",8,2.35,0.00,"Video, Related searches"
how to convert a fraction to a decimal,Informational,5400,"0.82,0.67,0.55,0.55,0.55,0.67,1.00,0.55,0.67,0.35,0.82,0.82",26,1.72,0.01,"AI Overview, Video, Short videos, Related searches"
how to convert png to pdf,Informational,5400,"0.66,0.66,0.66,0.81,1.00,1.00,1.00,1.00,0.66,0.81,1.00,1.00",21,0.86,0.59,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
hp pavilion x360 convertible 14 dh0xxx,Commercial,5400,"0.36,0.66,0.44,0.44,0.66,0.81,0.81,0.66,1.00,0.03,0.03,0.07",21,0.00,0.00,"AI Overview, Image, Video, Discussions and forums, Related searches, Popular products, Ads bottom"
jpeg convert jpg,"Informational, Commercial",5400,"0.00,0.01,0.03,0.00,0.00,1.00,0.10,0.66,0.00,0.00,0.29,0.00",28,0.44,0.10,"Video, Related searches"
julian day to calendar date converter,"Informational, Transactional",5400,"0.15,0.04,0.13,0.00,0.81,1.00,0.81,0.36,0.81,0.00,0.03,0.66",21,0.00,0.00,"Video, Video carousel, Related searches"
movavi video converter,Navigational,5400,"0.29,0.19,0.24,0.24,0.29,0.29,0.29,0.54,1.00,0.66,0.36,0.29",29,3.50,0.08,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top"
mp4 youtube converter,"Informational, Commercial",5400,"0.44,0.44,0.44,1.00,0.81,0.67,0.44,0.35,0.30,0.30,0.35,0.35",25,0.00,0.00,"Video, Related searches"
pixel to inches converter,"Informational, Transactional",5400,"0.54,0.29,1.00,0.44,0.44,0.29,0.29,0.16,0.54,0.81,0.36,0.81",18,0.00,0.00,"Video, Related searches"
time swim converter,"Informational, Commercial",5400,"0.24,0.24,0.44,0.54,0.29,0.36,0.44,0.66,1.00,0.00,0.00,0.01",19,0.00,0.00,"Sitelinks, People also ask, Related searches"
utc to est converter,"Informational, Commercial",5400,"0.81,1.00,0.81,1.00,0.66,0.66,0.44,0.29,0.44,0.29,0.44,0.35",26,0.00,0.00,Related searches
voltage converter,"Informational, Commercial",5400,"0.67,0.55,0.55,0.55,0.44,0.55,0.67,0.67,0.82,0.67,1.00,0.82",26,0.54,0.99,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
webp to jpg converter,Commercial,5400,"0.67,0.67,1.00,0.81,0.67,0.53,0.67,0.67,0.67,0.53,0.67,0.67",29,0.16,0.03,"Video, People also ask, Related searches"
youtube converter -- mp3,Commercial,5400,"0.50,0.75,0.00,0.50,1.00,0.00,0.25,0.25,0.00,0.25,0.25,0.00",23,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches"
youtube to mp3 convert,Commercial,5400,"0.55,0.66,0.82,1.00,0.18,0.55,0.82,0.82,0.82,0.55,0.36,0.55",23,1.52,0.00,"Sitelinks, Video, Video carousel, Related searches"
youtube to mp4 converter --,"Informational, Commercial",5400,"0.81,1.00,0.81,0.81,0.31,0.44,0.44,0.00,0.00,0.00,0.00,0.00",22,0.00,0.00,"Sitelinks, Video, Related searches"
