Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
horse cartoon,Informational,6600,29,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
ladies cartoon characters,Informational,6600,25,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Carousel, Related searches"
schedule for cartoon network,"Informational, Commercial",6600,13,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
what animal is arthur from the cartoon,Informational,6600,24,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, Related searches"
what animal is the cartoon arthur,Informational,6600,24,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, Related searches"
axolotl cartoon,Informational,5400,29,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches"
booklet cartoon,Informational,5400,27,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask"
cartoon bookbag,Informational,5400,25,0.29,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
cartoon characters in black,Informational,5400,27,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Carousel, Related searches"
cartoon couples,"Informational, Commercial",5400,26,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
cartoon dragon,"Informational, Transactional",5400,26,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
cartoon pumpkin,Informational,5400,29,0.00,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Related searches"
cartoon skeleton,Informational,5400,26,0.00,"Image, Image pack, Video, Video carousel, Related searches"
cartoon villains,Informational,5400,28,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
cute cartoon animals,Informational,5400,28,0.00,"Image, Image pack, Video, People also ask, Related searches"
ghost cartoon,"Informational, Transactional",5400,29,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
girl cartoon,"Informational, Transactional",5400,26,0.00,"Image, Image pack, Video, Video carousel, Related searches"
halloween cartoons,"Informational, Transactional",5400,29,0.05,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, See results about"
house cartoon,"Informational, Transactional",5400,26,0.00,"Image, Image pack, Video, Video carousel, Related searches"
watch cartoons online free,"Informational, Transactional",5400,19,2.53,"Sitelinks, Video, Related searches"
