Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
mdt bus tracker,Informational,12100,"0.81,0.81,1.00,1.00,0.66,0.54,0.81,0.81,0.66,0.54,0.81,0.54",28,0.00,0.00,"Image, Video, Related searches"
soundtrack tracker,"Informational, Commercial",12100,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,0.29,0.00,0.02,0.36",27,1.70,0.01,"Image, Video, Related searches, See results about"
speed x tracking,Navigational,12100,"0.01,0.02,0.01,0.02,0.05,0.24,0.66,1.00,0.44,0.24,0.36,0.10",19,0.33,0.01,"Sitelinks, Video, Related searches"
tracking for old dominion,"Informational, Transactional",12100,"0.00,0.00,0.01,0.00,0.16,1.00,0.04,0.00,0.00,0.00,0.01,0.29",25,6.33,0.00,"Sitelinks, Related searches, See results about"
veho tracking,Informational,12100,"0.16,0.24,0.44,0.24,0.19,0.29,0.66,0.81,0.54,1.00,1.00,1.00",26,0.62,0.00,"Sitelinks, Video, People also ask, Related searches"
aci tracking,Navigational,9900,"0.04,0.05,0.19,0.13,0.16,0.36,0.44,0.29,0.44,1.00,0.54,0.54",19,0.67,0.01,"Sitelinks, Video, People also ask, Related searches"
army career tracker,Commercial,9900,"0.67,0.54,0.44,1.00,0.54,0.81,0.67,0.54,0.54,0.67,0.44,0.44",26,3.21,0.02,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
ceva tracking,"Informational, Transactional",9900,"0.81,0.54,1.00,0.81,0.54,0.54,0.81,0.67,0.67,1.00,0.54,0.67",26,0.57,0.01,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
daylight transport tracking,"Navigational, Commercial",9900,"1.00,0.81,0.81,1.00,0.81,1.00,0.81,1.00,1.00,0.81,0.81,0.81",29,0.01,0.12,"Sitelinks, Image, Related searches"
dop tracking,Informational,9900,"0.05,0.01,0.02,0.00,1.00,1.00,0.81,0.81,0.44,0.00,0.04,0.36",18,0.05,0.00,"Sitelinks, Video, People also ask, Related searches"
e track,"Informational, Transactional",9900,"0.66,0.54,0.54,0.66,0.54,0.81,0.81,1.00,0.81,1.00,0.81,0.81",20,1.51,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products, Ads bottom"
festool track saw,Transactional,9900,"0.67,1.00,1.00,0.81,0.67,0.81,0.67,0.54,0.54,0.67,0.81,0.54",14,0.55,1.00,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products"
go kart tracking,"Informational, Transactional",9900,"0.01,0.01,0.02,0.00,0.81,0.81,1.00,0.67,0.24,0.00,0.03,0.29",23,0.75,0.05,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
lady gaga tracker,Informational,9900,"0.81,0.81,0.66,0.81,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",17,0.00,0.00,"Sitelinks, Image, Video, Related searches"
lbc express ltd tracking,"Informational, Transactional",9900,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.54,0.36,0.00,0.03,0.36",22,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
luther vandross tracks,Informational,9900,"0.02,0.00,0.00,0.00,1.00,0.00,0.54,0.29,0.13,0.00,0.02,0.00",25,0.17,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches"
milwaukee track saw,Informational,9900,"1.00,0.81,0.81,0.67,0.67,0.67,0.54,0.54,0.54,0.54,0.54,0.54",29,0.65,1.00,"Sitelinks, Image, Video, People also ask, Related searches"
monster tracks,Commercial,9900,"1.00,1.00,0.81,0.81,1.00,1.00,0.66,0.66,0.10,0.02,0.24,0.54",27,0.10,0.03,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products, Ads top, Ads bottom"
moose tracks,"Informational, Commercial",9900,"0.81,0.54,0.66,0.81,0.66,0.66,0.66,0.81,0.81,1.00,0.81,0.54",21,1.56,0.40,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
oak harbor tracking,"Informational, Transactional",9900,"1.00,0.81,1.00,0.81,1.00,1.00,1.00,0.81,1.00,1.00,1.00,0.81",17,12.79,0.00,Related searches
pitt ohio track and trace,"Navigational, Transactional",9900,"0.01,0.00,0.04,0.00,1.00,1.00,0.81,0.81,0.44,0.00,0.05,0.36",21,2.84,0.00,"Sitelinks, Video, Related searches"
shelby daniele track and field,"Informational, Transactional",9900,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Image, Video, Video carousel, People also ask, Related searches"
spikes for track,Commercial,9900,"0.07,0.16,0.19,0.29,0.81,1.00,0.44,0.16,0.07,0.07,0.05,0.07",27,0.33,0.75,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know, Ads bottom"
spikes on track,Commercial,9900,"0.03,0.00,0.01,0.00,0.00,0.00,1.00,0.29,0.24,0.00,0.02,0.16",24,0.33,0.75,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products"
t force tracking,Navigational,9900,"0.66,0.82,1.00,0.55,0.23,0.55,0.66,0.66,0.66,0.82,0.43,0.82",23,3.29,0.00,"Sitelinks, Image pack, Video, Related searches"
track lbc express,"Informational, Transactional",9900,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.54,0.36,0.00,0.03,0.36",20,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
track of the wolf,Navigational,9900,"0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.67,0.82,0.82,0.55",27,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
uni uni tracking,Informational,9900,"0.66,0.66,1.00,1.00,0.44,0.81,1.00,0.44,0.81,0.54,0.44,0.54",17,0.45,0.00,"Image, Related searches"
cancer cup umamusume track,"Informational, Transactional",8100,1.00,14,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
delta cargo tracking,Navigational,8100,"0.81,0.81,1.00,0.67,0.67,0.81,0.67,0.81,0.81,0.81,0.81,0.67",21,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
expeditors tracking,Navigational,8100,"1.00,0.67,0.81,0.81,0.67,0.81,1.00,1.00,1.00,1.00,1.00,1.00",27,2.49,0.00,"Sitelinks, Related searches"
frank ocean tracker,Informational,8100,"0.01,0.01,0.01,0.07,1.00,1.00,0.54,0.66,0.04,0.36,0.81,0.01",26,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
goon tracker,Commercial,8100,"0.54,0.24,0.19,0.36,0.66,1.00,0.54,0.54,0.44,0.07,0.13,0.08",9,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
milton track.,"Informational, Transactional",8100,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",28,0.00,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
new ye tracker,Informational,8100,"0.00,0.01,1.00,0.04,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00",29,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
old dominion freight tracking,"Informational, Transactional",8100,"1.00,0.55,0.66,0.55,0.66,0.55,0.36,0.55,0.55,0.43,0.55,0.55",29,6.33,0.00,"Sitelinks, Video, People also ask, Related searches, See results about"
osm worldwide tracking,"Informational, Transactional",8100,"0.82,0.55,0.82,1.00,0.55,0.67,0.55,0.55,0.55,0.67,0.55,0.55",15,0.38,0.00,"Sitelinks, People also ask, Related searches"
pitney bowes tracking,Informational,8100,"0.50,0.65,1.00,0.65,0.40,0.50,0.40,0.40,0.35,0.40,0.40,0.35",19,2.16,0.03,"Video, Related searches"
r l carriers tracking,Navigational,8100,"1.00,0.12,0.54,0.54,0.23,0.30,0.16,0.12,0.20,0.30,0.30,0.23",29,0.00,0.00,"Sitelinks, Related searches"
shawn mendes tracker,"Informational, Commercial",8100,"0.08,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.81,0.00,0.08,0.54",21,1.54,0.00,"AI Overview, Image, Video, Related searches"
slot car track,"Informational, Transactional",8100,"0.29,0.66,1.00,0.44,0.29,0.19,0.13,0.13,0.19,0.19,0.16,0.19",16,0.23,0.95,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
speedee tracking,"Informational, Transactional",8100,"0.67,0.54,0.67,0.67,0.67,0.67,0.81,0.81,0.67,0.67,1.00,0.67",21,0.00,0.00,"Sitelinks, Image, Video, Related searches"
track meet official,Informational,8100,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
track skid steer for sale,Transactional,8100,"1.00,0.29,0.01,0.00,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.01",11,1.68,1.00,"Sitelinks, Image, Video, Local pack, Related searches, Popular products"
tracker paw patrol,Informational,8100,"1.00,1.00,1.00,1.00,0.82,1.00,1.00,0.82,0.82,1.00,1.00,0.82",28,0.14,0.83,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
tracking area update,"Informational, Commercial",8100,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67,0.67,0.00,0.03,0.44",12,0.00,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
wallet tracker,"Informational, Transactional",8100,"0.44,0.81,1.00,1.00,1.00,0.81,0.54,0.66,0.54,0.54,0.66,0.54",24,0.66,1.00,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products"
winit tracking,"Informational, Commercial",8100,"0.08,0.20,1.00,0.29,0.24,0.29,0.07,0.03,0.03,0.04,0.03,0.03",24,0.08,0.01,"Sitelinks, Video, Related searches"
ye tracker,Informational,8100,"0.69,0.69,0.69,0.83,0.69,1.00,0.69,0.83,0.34,0.69,0.45,0.34",22,0.00,0.00,"Sitelinks, Image, Video, Related searches"
air track,"Informational, Transactional",6600,"0.81,1.00,1.00,0.44,0.54,0.35,0.44,0.54,0.67,0.67,0.44,0.44",25,0.63,0.91,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches, Popular products"
animal tracking bracelet,Commercial,6600,"0.36,0.66,1.00,0.29,0.24,0.24,0.24,0.24,0.24,0.44,0.29,0.19",21,1.58,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Things to know, Ads bottom"
bass tracker,Commercial,6600,"0.44,0.36,0.29,0.44,0.55,0.82,0.82,1.00,1.00,0.67,0.55,0.44",22,0.24,0.79,"Sitelinks, Image pack, Video, People also ask, Related searches, Things to know, Ads bottom"
bo6 camo tracker,"Informational, Transactional",6600,"0.08,1.00,0.36,0.16,0.07,0.04,0.07,0.04,0.04,0.03,0.03,0.01",17,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
ch robinson tracking,"Informational, Navigational",6600,"1.00,0.81,0.81,1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.81,1.00",17,4.74,0.00,"Video, Related searches"
chris robinson track,"Informational, Transactional",6600,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13,0.01,0.01",19,0.00,0.00,"Image, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
crossword clue track,Informational,6600,"0.24,0.00,0.08,0.01,1.00,0.81,0.66,0.81,0.81,0.00,0.00,0.44",14,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
curtain track,"Informational, Transactional",6600,"1.00,0.81,0.67,0.81,0.81,0.54,0.44,0.67,0.67,1.00,0.54,0.81",27,1.29,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
dewalt track saw,Transactional,6600,"0.66,0.66,0.66,0.66,0.54,0.54,0.54,0.81,1.00,0.81,0.81,0.54",25,0.65,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products, Ads bottom"
dohrn tracking,"Navigational, Transactional",6600,"0.44,0.36,0.66,0.66,0.54,0.66,0.66,0.81,0.66,1.00,1.00,0.81",14,0.00,0.00,"Sitelinks, Video, Related searches"
dtdc transport tracking,"Informational, Transactional",6600,"0.00,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.00,0.00",28,0.06,0.00,"Sitelinks, Video, Related searches"
fast track lane tolls scam,Informational,6600,"0.00,0.00,0.00,0.02,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00",22,0.00,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches"
hearthstone deck tracker,"Informational, Transactional",6600,"1.00,1.00,0.66,0.66,1.00,0.81,0.81,1.00,0.66,0.66,0.81,0.66",17,0.75,0.09,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
how many laps around a track is a mile,Informational,6600,"0.66,0.44,0.35,0.54,0.54,0.81,0.81,0.81,0.81,1.00,1.00,0.81",24,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
maria guadalupe gonzalez gps tracking spouse,Informational,6600,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",27,0.00,0.00,"Image, Video, People also ask, Related searches"
medu tracking,Informational,6600,"1.00,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.82",20,0.13,0.03,"Sitelinks, Related searches"
nascar track closing,Informational,6600,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
national hurricane center tracks two areas for possible tropical development.,Informational,6600,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Top stories, Related searches"
overwatch tracker,Informational,6600,"0.83,0.54,0.42,0.54,0.54,0.54,0.54,0.54,0.42,0.67,0.54,1.00",25,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
paula's choice track order,"Informational, Transactional",6600,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,0.00,0.04,"Sitelinks, Video, Related searches"
railroad track,"Informational, Commercial",6600,"0.66,0.36,0.44,0.44,0.36,0.54,0.44,0.44,0.44,0.44,0.36,1.00",25,1.97,0.01,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Things to know"
track jacket,"Informational, Commercial",6600,"0.81,1.00,0.66,0.66,0.66,0.54,0.66,0.54,0.54,0.54,0.66,0.66",23,1.44,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
track life flight,Informational,6600,"0.04,0.01,0.00,0.00,0.00,0.00,1.00,0.54,0.54,0.00,0.03,0.44",10,0.62,0.01,"Sitelinks, Image, Video, Related searches"
track marks,Informational,6600,"0.67,0.81,0.54,0.54,0.67,0.54,0.67,0.81,0.81,1.00,0.67,0.54",20,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
umac tracking,"Informational, Transactional",6600,"0.81,1.00,0.81,0.81,0.54,0.44,0.54,0.66,0.66,0.66,0.44,0.44",4,0.00,0.00,"Image, Video, Related searches"
ward trucking tracking,"Informational, Commercial",6600,"0.81,0.81,0.67,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.54,0.67",20,6.24,0.00,"Sitelinks, Video, Related searches"
warzone tracker,Informational,6600,"0.43,0.57,0.43,0.29,0.29,0.57,1.00,0.57,0.57,0.43,0.29,0.14",23,0.00,0.00,"Sitelinks, Image, Video, Related searches"
yfh tracking,"Informational, Transactional",6600,"0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.54,1.00,0.81,1.00,0.19",8,0.46,0.01,"Sitelinks, Related searches"
adidas track jacket,"Navigational, Transactional",5400,"0.66,0.54,0.66,0.54,0.54,0.54,0.54,0.54,0.44,0.54,0.81,1.00",26,0.34,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
back on track,Transactional,5400,"0.82,1.00,1.00,1.00,0.67,1.00,0.67,0.82,0.67,0.55,0.44,0.55",19,0.93,0.63,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Ads top, Ads bottom"
bassline tracks,"Informational, Transactional",5400,"0.03,0.02,0.10,0.01,0.19,0.81,1.00,0.81,0.81,0.00,0.02,0.19",28,0.24,0.79,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, See results about"
ceva logistics tracking,"Navigational, Transactional",5400,"0.36,0.44,1.00,0.44,0.36,0.44,0.23,0.23,0.44,0.36,0.23,0.54",22,0.57,0.01,"Sitelinks, Image pack, Video, Related searches"
coyote tracks,Informational,5400,"0.20,0.67,0.55,1.00,1.00,0.44,0.29,0.29,0.15,0.24,0.12,0.20",19,2.84,0.02,"Image, Image pack, Video, Related searches"
dirt bike tracks near me,Transactional,5400,"0.67,0.54,0.67,0.67,0.44,0.67,0.28,0.54,0.81,1.00,0.44,0.36",28,1.98,0.05,"Sitelinks, Image, Video, Local pack, Related searches"
disable location tracking,Informational,5400,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",18,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches"
dme track,Navigational,5400,"0.54,0.66,0.66,0.66,0.66,1.00,1.00,0.66,0.81,0.81,0.81,0.54",19,3.09,0.02,"Sitelinks, Video, People also ask, Related searches"
doordash tracking,"Informational, Transactional",5400,"0.44,0.81,1.00,0.54,0.54,0.66,0.54,0.81,0.54,0.66,1.00,0.66",28,1.70,0.02,"Video, Related searches"
dtc tracker,Informational,5400,"0.00,0.00,0.07,0.01,0.00,1.00,1.00,0.66,0.66,0.00,0.07,0.00",16,0.06,0.00,"Sitelinks, Video, People also ask, Related searches"
e tracks,"Informational, Transactional",5400,"0.23,0.67,0.29,0.23,0.44,1.00,1.00,0.44,0.82,0.44,1.00,0.82",22,1.51,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
easter rabbit tracker,Informational,5400,"0.00,0.00,0.00,0.00,0.00,0.02,1.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
ecms tracking,Navigational,5400,"0.44,0.66,0.81,0.81,0.54,0.66,0.66,1.00,0.44,0.44,0.54,0.36",27,0.41,0.00,"Sitelinks, Video, People also ask, Related searches"
fencing tracker,Navigational,5400,"0.81,0.66,0.35,0.66,0.66,0.44,0.66,0.44,0.44,0.44,0.66,1.00",28,4.25,0.00,"Sitelinks, Video, Related searches"
google app data tracking class action,Informational,5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",28,2.71,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
indoor track,Commercial,5400,"0.82,1.00,1.00,1.00,0.82,0.55,0.29,0.44,0.44,0.35,0.44,0.55",18,3.26,0.02,"Image, Video, People also ask, Local pack, Top stories, Related searches"
japan post tracking,"Informational, Transactional",5400,"0.44,0.67,0.81,0.67,0.54,0.81,0.67,0.67,0.81,0.81,1.00,0.36",26,0.21,0.00,"Sitelinks, Video, Related searches, See results about"
mcts tracker,Navigational,5400,"0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,1.00",21,0.00,0.00,"Sitelinks, Image, Video, Related searches"
mountain lion tracks,Informational,5400,"0.54,0.81,0.81,1.00,0.54,1.00,0.44,0.54,0.44,0.44,0.44,0.44",20,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
pants track,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.00,0.00,0.00,0.03,0.00",27,1.44,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
road and track magazine,Navigational,5400,"0.66,0.54,0.81,0.44,1.00,0.44,0.24,0.81,0.10,0.54,0.29,0.81",29,0.11,0.20,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
roy orbison tracks,Informational,5400,"0.19,0.02,0.07,0.01,0.01,0.16,1.00,0.66,0.81,0.00,0.08,0.54",29,0.15,0.01,"Image, Video, Video carousel, Short videos, Knowledge panel, Related searches"
scholar track,Informational,5400,"0.54,0.54,0.44,0.44,0.44,0.54,0.66,1.00,0.36,0.36,0.66,0.81",24,4.48,0.01,"Sitelinks, Video, Related searches"
shipment tracking tarkov,Informational,5400,"0.00,0.00,0.29,1.00,0.66,0.36,0.36,0.54,0.36,0.24,0.36,0.29",25,0.00,0.00,"Image, Video, Related searches"
