Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
sankoku channel,Informational,8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.13,0.07,0.36",10,0.00,0.00,,1100
travel channel schedule,Informational,8100,"1.00,0.81,0.67,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.67",16,0.00,0.00,"Image, Related searches",491000000
what channel is the alabama game on,Informational,8100,"1.00,1.00,0.20,0.03,0.03,0.05,0.00,0.00,0.00,0.00,0.12,0.36",21,2.23,0.04,"Video, People also ask, Top stories, Related searches",306000000
what channel is tnt on directv,Informational,8100,"0.30,0.20,0.67,0.12,0.30,0.54,0.54,1.00,0.30,0.36,0.05,0.10",30,0.00,0.00,"AI Overview, Video, Related searches",2130000
4 channel amp,Commercial,6600,"0.54,1.00,0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81",12,0.59,1.00,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products",402000000
channeling minecraft,"Informational, Transactional",6600,"0.36,0.30,0.36,0.54,0.67,0.67,1.00,1.00,0.36,0.30,0.36,0.30",30,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",328000000
games online disney channel,"Informational, Commercial",6600,"0.00,0.00,0.01,0.00,0.81,1.00,1.00,0.00,0.81,0.00,0.08,0.54",29,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Discussions and forums, Related searches",72700000
how to delete a youtube channel,Informational,6600,"0.66,0.54,0.81,0.66,0.81,1.00,0.66,0.81,0.81,0.81,0.66,0.66",27,0.00,0.00,"AI Overview, Video, Video carousel, Short videos, Related searches",778000000
my benefits channel,Informational,6600,"0.66,0.81,0.66,0.66,0.36,0.23,0.36,0.29,0.54,0.36,0.23,1.00",20,0.00,0.00,"Sitelinks, Video, Related searches",897000000
what channel is the penn state game on,Informational,6600,"0.19,0.66,1.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.36",28,1.76,0.01,"AI Overview, Video, Related searches",76400000
what channel is thursday night football on tonight,Informational,6600,"1.00,0.44,0.30,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.81",28,2.31,0.03,"Video, Video carousel, Knowledge panel, Top stories, Related searches",379000000
c channel,"Informational, Transactional",5400,"0.81,1.00,0.81,0.66,0.81,1.00,0.81,1.00,1.00,0.66,1.00,0.81",17,0.96,0.74,"Sitelinks, Image pack, Video, Related searches, Popular products",6670000000
c channel 10,"Informational, Transactional",5400,"0.00,0.00,0.00,0.00,0.01,0.81,1.00,0.00,0.00,0.00,0.00,0.00",5,0.49,0.00,"Sitelinks, Image pack, Video, Related searches, Popular products",5540000000
channel drain,"Informational, Transactional",5400,"0.67,0.44,0.35,0.35,0.44,0.67,0.67,1.00,1.00,0.82,1.00,0.82",22,1.03,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",262000000
channel myanmar org,"Informational, Commercial",5400,"0.23,0.44,1.00,0.44,0.67,1.00,0.67,0.55,0.67,0.82,0.82,0.29",25,0.00,0.00,"Sitelinks, Video, Related searches",58100000
directv multiview streaming channels,Informational,5400,"1.00,0.00",22,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",33500
disney channel shows 2000s,Informational,5400,"1.00,0.81,0.54,0.81,0.66,0.54,0.44,0.44,0.54,1.00,0.54,0.54",25,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",45900000
how to block youtube channels,Informational,5400,"0.54,0.44,0.44,0.66,0.66,0.44,0.35,1.00,1.00,0.54,0.66,0.54",24,0.78,0.02,"AI Overview, Video, Video carousel, Related searches",396000000
national geographic channel schedule,"Informational, Commercial",5400,"0.54,0.66,0.66,0.66,0.66,1.00,0.81,0.81,0.81,0.81,0.66,0.66",27,0.00,0.00,"Sitelinks, Image, Video, Related searches",326000000
sirius christmas channels,Informational,5400,"0.05,1.00,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",30,0.00,0.00,"AI Overview, Image, Image pack, Video, Related searches",14300000
unistrut channel,"Informational, Transactional",5400,"0.66,1.00,0.66,0.81,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81",18,0.54,1.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches, Popular products",22900000
what channel is dallas cowboys playing on today,Informational,5400,"0.81,1.00,0.81,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.67",21,2.19,0.03,"Video, Video carousel, Top stories, Related searches",114000000
what channel is the broncos game on,Informational,5400,"1.00,0.67,1.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.82",30,2.78,0.02,"Video, Top stories, Related searches",67100000
what channel is the georgia game on,"Informational, Commercial",5400,"0.67,1.00,0.29,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.67",20,2.19,0.03,"AI Overview, Video, Video carousel, Top stories, Related searches",274000000
what channel is the georgia game on today,Informational,5400,"0.66,0.81,0.16,0.24,0.01,0.00,0.00,0.00,0.00,0.00,0.29,1.00",20,2.60,0.04,"AI Overview, Video, Related searches",660000000
what channel is the ravens game on,Informational,5400,"0.29,0.29,0.44,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.54",27,2.36,0.03,"Sitelinks, Video, Video carousel, Top stories, Related searches",62600000
what channel is the sugar bowl on,Informational,5400,"0.00,0.00,0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",18,0.00,0.00,"AI Overview, Video, People also ask, Top stories, Related searches",900000000
center channel speaker,Commercial,4400,"0.71,1.00,1.00,0.71,0.57,0.57,0.71,0.43,0.43,0.71,0.43,0.29",12,0.66,1.00,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products",759000000
channel islands surfboards,Navigational,4400,"0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.67,1.00,1.00,1.00,1.00",28,0.86,0.43,"Sitelinks, Video, Video carousel, Local pack, Knowledge panel, Related searches, Popular products",881000
channels in england,Informational,4400,"0.10,0.02,0.07,0.01,0.01,0.16,1.00,0.66,0.03,0.00,0.07,0.54",25,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",10
getyour channels com,Informational,4400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",25,4.68,0.03,"Sitelinks, AI Overview, Video, Video carousel, Related searches",82800000
how do i block a youtube channel,Informational,4400,"0.44,0.44,0.81,0.54,1.00,0.54,0.44,0.54,0.44,0.54,0.44,0.54",26,0.78,0.02,"Sitelinks, AI Overview, Video, Video carousel, Related searches",1040000000
how to change wifi channel,Informational,4400,"0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00",17,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",349000000
krgv channel news,"Navigational, Commercial",4400,"0.00,0.02,0.00,0.00,0.01,1.00,0.01,0.66,0.66,0.00,0.08,0.54",29,0.00,0.00,"Sitelinks, Video, Video carousel, Top stories, Related searches",86000
outlaw channel schedule,Informational,4400,"0.66,0.81,0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.66,0.66,0.66",22,0.00,0.00,"Video, Related searches, See results about",33700000
what channel is alabama vs fsu on,Commercial,4400,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.04,"AI Overview, Video, People also ask, Top stories, Related searches",10
what channel is paramount on directv,Informational,4400,"0.11,1.00,0.44,0.11,0.12,0.08,0.05,0.05,0.03,0.03,0.05,0.06",30,0.00,0.00,"Featured snippet, People also ask, Related searches",5920000
what channel is the bengals game on,Informational,4400,"0.33,0.33,1.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.33",28,2.98,0.02,"Video, Top stories, Related searches",41500000
what channel is the rose bowl on,Informational,4400,"0.00,0.00,0.15,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",30,0.00,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches",385000000
what time and channel is the georgia game today,Informational,4400,"1.00,0.81,0.30,0.36,0.01,0.02,0.01,0.00,0.00,0.00,0.16,1.00",18,2.13,0.02,"AI Overview, Video, Top stories, Related searches",2440000000
5 channel amp,"Informational, Transactional",3600,"0.53,0.53,0.67,0.67,0.67,0.81,0.81,0.81,0.67,0.81,1.00,0.81",6,0.44,1.00,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products, Ads bottom",773000000
aluminum channel,"Informational, Transactional",3600,"0.81,0.65,0.54,0.65,0.81,0.81,0.65,0.81,0.81,0.81,1.00,0.81",18,0.85,1.00,"Sitelinks, Image, Video, Related searches, Popular products",135000000
c channel steel,"Informational, Transactional",3600,"0.81,0.81,0.81,0.65,0.43,0.65,0.81,0.81,1.00,0.81,1.00,0.81",23,0.86,0.87,"Image, Image pack, Video, Related searches, Popular products",1130000000
calcium channel blockers and raynaud's,Informational,3600,"0.00,0.00,0.01,0.00,0.00,0.00,1.00,0.81,0.00,0.00,0.00,0.00",26,0.00,0.00,"AI Overview, Image, Video, Related searches",435000
channel house,Commercial,3600,"0.52,0.66,0.52,0.52,0.52,0.66,0.66,0.66,0.82,0.82,0.82,1.00",21,0.44,0.18,"Sitelinks, Image, Video, People also ask, Local pack, Related searches",4320000000
channel ifc schedule,Informational,3600,"0.01,0.02,0.07,0.01,0.00,0.00,1.00,0.66,0.00,0.00,0.02,0.44",17,0.00,0.00,"Sitelinks, Video, Related searches",17500000
channel master tv guide,Navigational,3600,"0.36,0.36,0.43,0.43,0.43,0.54,0.43,0.36,0.43,0.81,0.66,1.00",23,0.00,0.00,"Video, Related searches",419000000
disney channel tv schedule,"Informational, Commercial",3600,"0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.65",27,2.00,0.01,"Sitelinks, Image, Video, Related searches",1250000000
error code 277 channel production,Informational,3600,"0.66,1.00,0.00",24,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",11600000
frank ocean channel orange vinyl,Commercial,3600,"0.02,0.08,0.08,0.00,0.02,0.01,0.02,0.03,1.00,0.13,0.07,0.05",22,0.44,0.83,"Sitelinks, Image, Video, Related searches, Popular products",1760000
frndly tv channels,Navigational,3600,"0.67,0.54,0.67,1.00,0.81,0.54,0.54,0.67,0.67,0.81,1.00,0.67",30,0.67,0.42,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches, Ads middle",471000
golden state game tonight what channel,Informational,3600,"0.01,0.00,0.02,0.00,0.16,0.36,1.00,0.66,0.00,0.00,0.00,0.00",30,0.00,0.00,"AI Overview, Image, Video, Video carousel, Top stories, Discussions and forums, Related searches",55600000
hat channel,"Informational, Transactional",3600,"1.00,0.81,0.81,1.00,0.81,1.00,1.00,0.81,0.81,1.00,1.00,0.81",13,1.10,0.47,"AI Overview, Image pack, Video, People also ask, Related searches, Popular products",3120000000
how do you block a youtube channel,Informational,3600,"0.05,0.54,0.81,0.10,1.00,0.12,0.54,0.05,0.35,0.66,0.23,0.81",23,0.78,0.02,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom",300000000
how to block a youtube channel,Informational,3600,"0.55,0.67,0.55,1.00,0.67,0.55,0.44,0.55,0.55,0.67,0.44,0.55",29,1.22,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",1090000000
how to change youtube channel name,Informational,3600,"0.82,0.82,0.66,1.00,0.66,0.66,0.66,0.66,0.82,0.82,0.66,0.52",21,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Discussions and forums, Related searches",1810000000
non dihydropyridine calcium channel blockers,Informational,3600,"0.29,0.65,0.42,0.82,1.00,0.55,0.82,1.00,1.00,1.00,0.65,0.82",26,3.24,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",752000
sanakku channel,"Informational, Commercial",3600,"0.01,0.00,0.00,0.01,0.00,0.00,1.00,0.66,0.00,0.00,0.07,0.36",17,0.00,0.00,,2680
steelers vs ravens channel,Commercial,3600,"0.00,0.00,0.10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Image, Video, Top stories, Related searches",7620000
strut channel,"Informational, Transactional",3600,"0.53,0.53,0.53,0.53,0.67,0.67,0.67,1.00,0.81,0.67,0.67,0.53",17,0.84,1.00,"Sitelinks, AI Overview, Image, Video, Related searches, Popular products",23800000
telegram porn channels,Commercial,3600,"1.00,0.35,0.44,0.29,0.29,0.16,0.35,0.54,0.54,0.44,0.44,0.35",20,0.00,0.00,,479000000
u channel,"Informational, Transactional",3600,"0.81,0.81,0.65,0.65,0.65,0.81,1.00,0.81,0.81,1.00,0.81,0.81",12,1.13,0.93,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",5850000000
what channel is penn state on today,Informational,3600,"0.29,1.00,0.54,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.36",24,2.18,0.01,"AI Overview, Video, People also ask, Top stories, Related searches",131000000
what channel is the bears game on,Informational,3600,"0.54,0.67,0.54,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.00",30,2.63,0.02,"Sitelinks, Video, Video carousel, Top stories, Related searches",586000000
what channel is the commanders game on,Informational,3600,"0.03,0.03,0.08,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05",30,0.00,0.01,"Video, People also ask, Related searches",52300000
what channel is the knicks game on,Informational,3600,"0.07,0.10,0.10,0.08,0.03,0.05,0.19,1.00,0.01,0.00,0.00,0.00",30,0.00,0.01,"AI Overview, Video, Top stories, Related searches",50800000
what channel is the tennessee game on,Informational,3600,"0.81,1.00,0.16,0.06,0.04,0.10,0.00,0.01,0.00,0.00,0.08,0.54",20,2.13,0.04,"AI Overview, Video, Related searches",55600000
what channel is the thanksgiving day parade on,Informational,3600,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.00,0.00,"AI Overview, Video, Related searches",102000000
what channel is thursday night football,Informational,3600,"0.81,0.50,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",28,2.35,0.04,"Video, Knowledge panel, Top stories, Related searches",386000000
3.3.7 lab: install triple channel memory,"Navigational, Transactional",2900,1.00,26,0.00,0.00,"Image, Video, People also ask",2230
4 channel amplifier,"Informational, Transactional",2900,"0.36,0.82,1.00,0.82,1.00,0.36,0.42,1.00,0.82,1.00,0.36,0.65",15,0.59,1.00,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",386000000
5 channel amplifier,"Informational, Transactional",2900,"0.65,0.81,0.65,1.00,0.29,0.54,0.81,0.81,0.54,0.54,1.00,0.81",9,0.44,1.00,"Sitelinks, Image, Video, Video carousel, Discussions and forums, Related searches, Popular products",379000000
cee channel steel,Commercial,2900,"0.08,0.05,0.24,0.03,0.81,1.00,1.00,0.43,0.66,0.54,0.04,0.43",15,0.86,0.87,"Image, Video, Related searches, Popular products",244000000
channel 6 news building playset,Informational,2900,1.00,19,0.00,0.00,"Image, Image pack, Video",62600000
channel divinity 5e,Informational,2900,"0.67,1.00,0.80,0.67,0.67,1.00,0.67,0.67,0.53,0.67,0.80,0.53",24,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",808000
channel island sportfishing oxnard california,Navigational,2900,"0.02,0.00,0.03,0.01,0.00,0.01,0.81,1.00,1.00,0.00,0.07,0.36",24,1.99,0.04,"Sitelinks, Image, Video, Knowledge panel, Related searches",16800
channel letters,Informational,2900,"0.54,0.43,0.43,0.54,0.54,0.65,0.54,0.65,0.65,1.00,1.00,0.81",19,4.24,0.84,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches, Ads bottom, Ads middle",706000000
channel marker,Informational,2900,"0.22,0.44,0.19,0.30,0.11,0.22,0.09,0.35,0.54,1.00,0.67,0.35",29,0.38,0.01,"Sitelinks, Video, Video carousel, Related searches",213000000
channel myanmaar,"Informational, Commercial",2900,"0.36,0.54,1.00,1.00,0.81,0.66,0.43,0.36,0.36,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, Image, Video, Related searches",168000000
cooking channel schedule,Informational,2900,"0.80,1.00,1.00,1.00,0.80,0.66,0.52,0.66,0.66,0.66,0.66,0.66",27,0.00,0.00,"Sitelinks, Image, Video, Related searches",77500000
directv channel 875,Informational,2900,1.00,16,0.00,0.00,"AI Overview, Video, Related searches",26200
does the greecom psr 800 receives control channels,Informational,2900,1.00,8,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",10900
hallmark channel actors,Informational,2900,"0.67,0.43,1.00,0.54,0.24,0.35,0.35,0.19,0.24,0.35,0.43,0.19",16,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Carousel, Related searches",32000000
how do you delete a youtube channel,Informational,2900,"0.81,0.44,0.24,0.67,0.35,0.24,0.67,0.54,0.54,1.00,0.44,0.44",23,0.72,0.00,"AI Overview, Video, Video carousel, Short videos, Related searches",151000000
how to block a channel on youtube,Informational,2900,"0.24,0.44,0.44,0.44,0.81,0.53,0.53,0.66,0.53,0.66,0.44,1.00",21,0.78,0.02,"Sitelinks, AI Overview, Video, Video carousel, Related searches",1380000000
how to block channels on youtube,Informational,2900,"0.43,0.66,0.28,0.81,0.28,0.36,1.00,0.28,0.36,0.36,0.66,0.36",26,0.78,0.02,"Sitelinks, AI Overview, Video, Video carousel, Related searches",592000000
kelsey 8 channel console,Commercial,2900,1.00,7,0.00,0.00,"Sitelinks, Image pack, Video, Related searches, Popular products",311000
krgv channel 5,"Navigational, Commercial",2900,"0.80,1.00,0.67,0.67,0.80,1.00,0.24,1.00,0.44,0.36,1.00,0.80",24,0.00,0.00,"Sitelinks, Image, Video, Related searches",153000
nguoi viet channel,"Navigational, Transactional",2900,"0.66,1.00,0.53,0.53,0.16,0.29,0.66,0.53,0.18,0.24,0.66,0.53",29,0.00,0.00,"Sitelinks, Image, Video, Related searches",11200000
nondihydropyridine calcium channel antagonist,Informational,2900,"0.08,0.05,0.24,0.03,0.81,1.00,1.00,0.43,0.66,0.01,0.04,0.43",25,3.24,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",63900
omaha channel guide,Informational,2900,"0.36,0.05,0.24,0.03,0.81,1.00,1.00,0.43,0.66,0.01,0.02,1.00",11,0.00,0.00,"Sitelinks, Video, Related searches",5150000
real madrid vs oviedo channel,Commercial,2900,"0.54,0.00,0.00,0.36,0.00,0.01,1.00,0.24,0.00,0.00,0.00,0.00",25,0.00,0.00,"AI Overview, Image pack, Video, Video carousel, Related searches",9960000
resilient channel,"Informational, Transactional",2900,"0.80,0.67,0.80,1.00,0.80,0.80,0.80,0.80,0.80,0.80,0.80,1.00",16,0.89,0.73,"Sitelinks, Image pack, Video, Related searches, Popular products",78700000
tbs channel directv,Informational,2900,"0.10,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.02,0.00,0.01",25,0.00,0.00,"AI Overview, Related searches",801000
the buddhist tv channel,Informational,2900,"0.10,0.03,0.19,0.02,0.54,0.66,1.00,0.44,0.44,0.00,0.03,0.29",11,0.94,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches",15300000
what channel is cw on directv,"Informational, Commercial",2900,"0.63,0.00,0.00,0.13,0.63,0.44,0.31,0.44,0.06,0.63,0.50,1.00",25,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",1220000
what channel is mnf tonight,Informational,2900,"0.88,1.00,0.88,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.00",28,1.95,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",10
what channel is notre dame on today,Informational,2900,"0.44,0.54,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.44",28,2.23,0.02,"AI Overview, Video, Top stories, Related searches",185000000
what channel is paramount on dish,Informational,2900,"0.09,1.00,0.30,0.06,0.10,0.06,0.04,0.02,0.01,0.01,0.02,0.05",18,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",27900000
what channel is tennessee vols playing on today,Informational,2900,"0.20,0.36,0.24,0.05,0.06,0.24,0.05,0.08,0.05,0.00,0.20,1.00",25,2.12,0.04,"AI Overview, Video, Related searches",11500000
what channel is the game on today,Informational,2900,"0.27,0.55,0.64,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.27",28,2.36,0.06,"Video, People also ask, Top stories",2160000000
what channel is the gamecock game on today,Informational,2900,"0.54,1.00,0.44,0.08,0.08,0.23,0.12,0.01,0.00,0.00,0.35,1.00",28,2.12,0.03,"Sitelinks, Video, Related searches",1720000
what channel is the guardians game on,Informational,2900,"1.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.07,0.10,0.04,0.19",28,3.05,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches",133000000
what channel is the macy's thanksgiving day parade on,Informational,2900,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"AI Overview, Video, Video carousel, Knowledge panel, Related searches",33700000
what channel is the texas longhorns game today,Informational,2900,"0.66,0.81,0.66,0.54,0.03,0.02,0.02,0.02,0.03,0.00,0.16,1.00",26,2.12,0.03,"Video, Video carousel, Related searches",17300000
what channel is the thanksgiving parade on,Informational,2900,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"AI Overview, Video, Related searches",129000000
what channel is the warriors game on tonight,Informational,2900,"0.10,0.45,0.24,0.17,0.28,0.55,0.83,1.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Top stories, Related searches",345000000
what time does kentucky wildcats play today and what channel,Informational,2900,"0.29,0.54,0.36,0.36,0.44,1.00,0.01,0.00,0.00,0.01,0.03,0.16",24,1.48,0.01,"AI Overview, Video, People also ask, Top stories, Related searches",15900000
will radioshack police scanners receive control channels in ohio,Informational,2900,1.00,18,0.00,0.00,"Sitelinks, Video, People also ask",26800
world series channel,Informational,2900,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,2.99,0.03,"Sitelinks, Video, People also ask, Related searches",2860000000
beetv 24/7 channels,Informational,2400,1.00,10,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",7080
block a youtube channel,Informational,2400,"0.29,0.20,0.65,1.00,0.65,0.54,0.43,0.43,0.36,0.43,0.36,0.54",23,1.09,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",1120000000
car enthusiast slack channel name,Informational,2400,1.00,7,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",2410000
cars slack channel fun,Informational,2400,1.00,15,0.00,0.00,"Sitelinks, Image pack, Video, Video carousel, Related searches",3630000
center channel,"Informational, Transactional",2400,"0.81,0.24,1.00,0.53,0.66,0.18,0.04,0.24,0.29,0.53,0.81,0.18",12,0.68,1.00,"Sitelinks, AI Overview, Video, Related searches, Popular products",2870000000
channel 6 news building playset petrenak designs,"Informational, Transactional",2400,1.00,23,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",26100
channel cloning bot with messages,"Informational, Transactional",2400,1.00,19,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",7080000
channel drains catch basin,"Informational, Transactional",2400,1.00,11,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Discussions and forums, Related searches, Popular products",1380000
channel house bed and breakfast,"Informational, Navigational",2400,"0.05,0.01,0.24,0.03,0.02,1.00,1.00,0.43,0.66,0.00,0.02,0.43",14,0.44,0.18,"Sitelinks, Image, Video, Knowledge panel, Related searches",34400000
channel letter signs,Commercial,2400,"0.66,0.36,0.36,0.44,0.52,0.66,0.66,0.36,0.36,1.00,1.00,0.80",20,7.24,0.75,"Sitelinks, Image, Image pack, Video, Knowledge panel, Related searches, Ads top",183000000
channel locks plier,"Informational, Transactional",2400,"0.16,0.16,0.16,0.12,0.35,0.35,0.29,0.35,0.29,0.35,1.00,0.35",23,0.29,0.97,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products",7970000
channel logo,Informational,2400,"0.83,0.66,0.83,0.83,0.55,0.83,0.83,1.00,0.83,0.83,1.00,0.83",24,1.55,0.00,"Sitelinks, Image, Image pack, Video, Related searches",5270000000
channel management,Informational,2400,"0.42,0.36,0.55,0.65,0.65,0.55,0.65,0.36,0.36,0.29,0.65,1.00",20,15.05,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Ads bottom",1580000000
channel mtg,"Informational, Commercial",2400,"0.83,0.45,1.00,1.00,0.55,0.66,0.83,0.66,0.83,0.83,0.83,0.66",25,0.57,0.23,"Image, Image pack, Video, Video carousel, Related searches, Popular products",29300000
channel sneakers,"Navigational, Transactional",2400,"0.66,0.82,1.00,0.66,0.11,0.43,0.02,0.11,0.09,0.07,0.02,0.00",25,0.78,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",46500000
